source_text	important_entities	informal_paraphrase	source_text_inform_score	informal_paraphrase_inform_score	informal_increase	is_manual_rewrite
Do you have any preference in city and type of events, for example, music or Sports something like that?	[]	have any preference in city and events? maybe music or sports, no?	0.0829288512468338	0.5756152272224426	0.4926863759756088	1
I found 5. Ajanta is in Berkeley.	['Ajanta', 'Berkeley']	i've found five. ajanta's in berkeley.	0.0512686148285865	0.5465473532676697	0.4952787384390831	1
Please confirm 1 room for 1 day at Courtyard By Marriott Sacramento Midtown in Sacramento with check in on March 3rd.	['Courtyard By Marriott Sacramento Midtown', 'March 3rd', '1', 'Sacramento']	confirm -  room for one  day at courtyard  in sacramento starting from march 3.	0.0218010134994983	0.5170957446098328	0.4952947311103344	1
I found Amsterdam Hostel San Francisco with a 3.5 rating.	['Amsterdam Hostel San Francisco', '3.5']	i've found amsterdam hostel san francisco with a 3.5 rating.	0.0222698040306568	0.5196864604949951	0.4974166564643383	1
In SF. I'd like some Mediterranean food	['Mediterranean', 'SF']	In SF. i wanna grab some mediterranean food	0.3142716884613037	0.8168070912361145	0.5025354027748108	1
16:30 would be ideal.	['16:30']	16:30 is more than ok	0.2743569016456604	0.777278482913971	0.5029215812683105	1
How many seats will you need going to Sonoma Ave, # 44, 1820 Doctors Park Drive?	['Sonoma Ave, # 44, 1820 Doctors Park Drive']	how many seats will you need to Sonoma , 44, 1820 doctors park drive?	0.1603371202945709	0.6643854975700378	0.5040483772754669	1
Call the event Viewing at Apricot Pit Apartments, and give it the location 400 East Remington Drive.	['Viewing at Apricot Pit Apartments', '400 East Remington Drive']	name it -  viewing at apricot pit apartments, and set the address to 400 East Remington Drive.	0.0204587001353502	0.5263176560401917	0.5058589559048414	1
Red Joan sounds great	['Red Joan']	red joan is cool	0.2145522087812423	0.72238689661026	0.5078346878290176	1
Your booking was successful. Emjoy your event.	[]	ur booking is done. enjoy!	0.0029748501256108	0.5116641521453857	0.5086893020197749	1
I am leaving from LAX to Las Vegas on March 14th.	['Las Vegas', 'March 14th', 'LAX']	i will leave from LAX to Las Vegas on March 14	0.0142023637890815	0.5277037024497986	0.513501338660717	1
There's 10 meeting your criteria, out of which I recommend 1020 South Figueroa Street rated at 4.2.	['1020 South Figueroa Street', '4.2']	i found 10 thing which u'd like, the best one is 1020 south figueroa street with 4.2 rating	0.4749329686164856	0.9888956546783448	0.5139626860618591	1
So you want a compact car on March 2nd till March 3rd which you will pick up at 12 pm from Canterbury village. Did I get that right?	['Canterbury village', 'March 2nd', '12 pm', 'March 3rd']	So you wanna compact car on March 2nd till March 3rd?  pick up at 12 pm from Canterbury, yeah?	0.4144711196422577	0.9288556575775146	0.514384537935257	1
Their contact number is +1 415-673-3277.	['+1 415-673-3277']	their number is  +1 415-673-3277	0.2002940773963928	0.7157840728759766	0.5154899954795837	1
You can reach them at +61 2 9011 5756.	['+61 2 9011 5756']	call them at +61 2-90115756.	0.0208706445991992	0.5383110642433167	0.5174404196441174	1
That's good. Please make a reservation there to check in on the 11th of March, and check out on March 13th.	['11th of March', 'March 13th']	its ok. reserve it to check in on the 11th of March, and check out on March 13th	0.0034185198601335	0.5234304666519165	0.520011946791783	1
The phone is +1 917-409-0800.	['+1 917-409-0800']	phone number  is +1 917-409-0800.	0.1793301850557327	0.6997216939926147	0.520391508936882	1
From LA please.	['LA']	From LA plz	0.364305704832077	0.8905925750732422	0.5262868702411652	1
I will be returning Tuesday next week.	['Tuesday next week']	i'll be back tuesday next week	0.2705961167812347	0.7971760630607605	0.5265799462795258	1
I will be departing from NYC at Wednesday next week.	['NYC', 'Wednesday next week']	I'll depart from NYC at Wednesday next week.	0.0898188650608062	0.6171048283576965	0.5272859632968903	1
I am interested in the weather in Nairobi for 9th of March.	['Nairobi', '9th of March']	how about the weather in nairobi on march 9?	0.0074766487814486	0.5348142385482788	0.5273375897668302	1
Please confirm a table for 4 at B K's Bistro in Fremont on March 9th at 7:45 pm.	"[""B K's Bistro"", 'Fremont', '7:45 pm', 'March 9th']"	plz confirm a table for 4 at BK Bistro in Fremont on March 9th at 7:45 pm	0.0053984625265002	0.5349481105804443	0.5295496480539441	1
I would like to go from Phoenix, AZ in March 12th	['Phoenix, AZ', 'March 12th']	I'd like to go from Phoenix in March 12	0.0347553938627243	0.5651943683624268	0.5304389744997025	1
The reaching station is Union Station.	['Union Station']	the detination is Union Station	0.1131212562322616	0.6451601982116699	0.5320389419794083	1
What time is first pitch?	[]	when is first pitch?	0.0904345884919166	0.6236892938613892	0.5332547053694725	1
I'd like to leave for NYC from Washington on 7th of March.	['NYC', 'Washington', '7th of March']	i wanna leave to NYC from Washington on march 7	0.2928036451339721	0.8267423510551453	0.5339387059211731	1
Can you please confirm that you want to book a table for 2 people at Amakai Japanese Cuisine in Santa Clara on March 14th at 1 pm?	['Amakai Japanese Cuisine', 'Santa Clara', '1 pm', 'March 14th']	confirm that you wanna book a table for two at Amakai Japanese Cuisine in Santa Clara on March 14 at 1 pm?	0.0070155942812561	0.5411660075187683	0.5341504132375121	1
I am interested in attractions in Sacramento.	['Sacramento']	i'd like some attractions in sacramento	0.0033015655353665	0.538508415222168	0.5352068496868014	1
Book it for Friday next week at quarter to 12 in the morning.	['Friday next week', 'quarter to 12 in the morning']	plz make it for Friday next week at quarter to 12 am	0.2988565564155578	0.8385363817214966	0.5396798253059387	1
I'd like to leave next Wednesday.	['next Wednesday']	I wanna leave next wednesday	0.3292450606822967	0.872812807559967	0.5435677468776703	1
Done with your reservation.	[]	your reservation is done	0.0275411177426576	0.5770692825317383	0.5495281647890806	1
Humidity is at 31 percent.	['31']	humidity - 31 %	0.2054066807031631	0.7549790143966675	0.5495723336935043	1
Red Joan sounds great!	['Red Joan']	red joan is cool!!	0.4414840936660766	0.992531955242157	0.5510478615760803	1
The departing station is Sacramento Valley Station and the arriving station is Salesforce Transit Center.	['Sacramento Valley Station', 'Salesforce Transit Center']	we start from Sacramento Valley and arrive at Salesforce Transit Center.	0.0070764990523457	0.5583277940750122	0.5512512950226665	1
Can you confirm the accuracy, please? You said the flight is from Atlanta, the flight heads straight to San Francisco, the airlines is Southwest Airlines, the date of departure is the day after tomorrow, the date of return is March 14th, the flight leaves at 1:45 pm, the return flights departs at 1:30 pm, your seating class is Economy, and the number of passengers who are going is 1.	['Atlanta', 'San Francisco', 'day after tomorrow', 'March 14th', '1:45 pm', '1:30 pm']	hey confirm this plz - flight from Atlanta  to SF with Southwest Airlines. it will be the day after tomorrow. and the return is on March 14th, the flight leaves at 1:45 pm, the return flights departs at 1:30 pm, your seating class is Economy, and the number of passengers who are going is 1.	0.0032656250987201	0.5548824071884155	0.5516167820896953	1
What do I have schedule Tuesday next week?	['Tuesday next week']	what stuff do i have to do on tuesday next week?	0.0875161290168762	0.6417977213859558	0.5542815923690796	1
I want the restaurant to be located in Oakland.	['Oakland']	may the restaurant be in oakland?	0.0044005122035741	0.5608320236206055	0.5564315114170313	1
Search in Oakland.	['Oakland']	let's have a look at Oakland.	0.1994689702987671	0.7597047090530396	0.5602357387542725	1
Please confirm an appointment at 4:45 pm March 9th.	['4:45 pm', 'March 9th']	confirm it for at 4:45 pm march 9th.	0.0043636807240545	0.566948652267456	0.5625849715434015	1
Booking a shared cab for 2 people to 2501 Winchester Boulevard. Shall I proceed?	['2501 Winchester Boulevard']	i'm booking a shared cab for 2 to 2501 Winchester Boulevard. go on?	0.0057327137328684	0.5701550245285034	0.564422310795635	1
The appointment will be on March 2nd at 4:30 pm, is that correct?	['4:30 pm', 'March 2nd']	the meeting is for March 2 at 4:30 pm, right?	0.0033052298240363	0.5720521211624146	0.5687468913383782	1
Yes, I found one located at 26100 Gading Road in the name Amberwood Garden Apartments which have 3 bed rooms with attached 3 baths for which the rent will be $4,250 per month. Is that okay for you?	['Amberwood Garden Apartments', '26100 Gading Road', '$4,250']	yeah, I found one located at 26100 Gading Road  - Amberwood Garden Apartments.  it has 3 bed rooms with 3 baths. the price is 4,250 bucks per month. OK?	0.00287188985385	0.5718979835510254	0.5690260936971754	1
Yes. This is works for me. 	[]	sounds cool	0.3075088262557983	0.876758873462677	0.5692500472068787	1
I need to find an apartment in Castro Valley.	['Castro Valley']	i need an apartment in castro valley	0.0052827293984591	0.5745830535888672	0.569300324190408	1
I'm looking for interesting things to do in Berkeley.	['Berkeley']	i wanna find some interesting things in berkeley	0.2967019379138946	0.8708644509315491	0.5741625130176544	1
Ac Hotel by Marriott Atlanta Buckhead at Phipps Plaza matches your selection, and has a rating of 4.5 out of 5 stars.	['Ac Hotel by Marriott Atlanta Buckhead at Phipps Plaza', '4.5']	ac hotel by marriott atlanta buckhead at phipps plaza looks like what u need. its rating is of 4.5 out of 5.	0.0192098580300807	0.5934228897094727	0.5742130316793919	1
I want to leave on 1st of this month from Sacramento, to arrive to Anaheim, CA.	['Sacramento', '1st of this month', 'Anaheim, CA']	i wanna leave on 1st of this month from Sacramento to Anaheim	0.3051650822162628	0.8798907995223999	0.5747257173061371	1
ok, how many tickets and where are you traveling too? What time would you like to depart?	[]	cool, how many tickets and what'd ur destination? and yesh btw what time is the departure?	0.4179944694042206	0.9950122237205504	0.57701775431633	1
Please confirm to book a Compact Car from Hartsfield-Jackson International Airport on March 5th at 2 pm to the drop-off date March 7th.	['Hartsfield-Jackson International Airport', 'March 5th', '2 pm', 'March 7th']	hey, onfirm the booking of compact car from hartsfield-jackson international airport on march 5th at 2 in the evening to the drop-off date march 7th.	0.0207497235387563	0.60392826795578	0.5831785444170237	1
I want to go this Sunday, anything at 12:30 in the afternoon would be good.	['12:30 in the afternoon', 'this Sunday']	i wanna go this sunday, anything at 12:30 in the afternoon will be ok for me	0.2982674837112427	0.8826493620872498	0.5843818783760071	1
Can you find me rental car for pick up on 4th of March at two pm from KL?	['two pm', '4th of March', 'KL']	plz find me rental car. i wanna pick it up on 4th of March at 2 pm from KL	0.3840415477752685	0.9733457565307616	0.5893042087554932	1
I would like the appointment half past 12 in the afternoon.	['half past 12 in the afternoon']	i waana this appointment to be at half past 12 in the afternoon.	0.0033530017826706	0.5967435240745544	0.5933905222918838	1
Destination? Departure and return date?	[]	hey what is ur destination, departure city? and also when is the retun date?	0.3805323839187622	0.9743584990501404	0.5938261151313782	1
The departure airport will be Toronto Pearson International Airport.	['Toronto Pearson International Airport']	starting from toronto pearson airport.	0.0818107798695564	0.6756923794746399	0.5938815996050835	1
Please confirm the following appointment is on March 12th at 5:15 pm.	['5:15 pm', 'March 12th']	confirm this plz -  appointement on March 12 at 5:15 in the evening	0.0043310620822012	0.5996124148368835	0.5952813527546823	1
Sounds absolutely great.	[]	sounds cool	0.2775113880634308	0.8767589926719666	0.5992476046085358	1
I will be leaving from San Fran and going to LA this Saturday.	['this Saturday', 'LA', 'San Fran']	i will start from san fran to to la this saturday.	0.052082784473896	0.653419554233551	0.601336769759655	1
SAN International Airport is the location of flight departure.	['SAN International Airport']	san airport is from where the flight departs	0.0044058235362172	0.6117432117462158	0.6073373882099986	1
I found 10 possible hotels. What about a 4.5 hotel called Ac Hotel By Marriott Atlanta Buckhead At Phipps Plaza?	['Ac Hotel By Marriott Atlanta Buckhead At Phipps Plaza', '4.5']	i can see 10 possible hotels. how about a 4.5 hotel - ac hotel by marriott atlanta buckhead at phipps plaza?	0.0443037189543247	0.6527333855628967	0.608429666608572	1
Oh, 5:30 is pretty early - what else is available? I'll need three tickets.	[]	wow, 5:30 is too early - anything else available? And i need three tickets plz	0.3797605633735657	0.988792598247528	0.6090320348739624	1
The average rating is 3.9	['3.9']	the rating is smth like 3.9	0.2889848351478576	0.9055302739143372	0.6165454387664795	1
It is showing 1 time at 9:30 pm at LandMark's Opera Plaza Cinema.	"['9:30 pm', ""LandMark's Opera Plaza Cinema""]"	it's just one time at 9:30 pm at landmark cinema	0.0368283540010452	0.6574994325637817	0.6206710785627365	1
I wanted to look for event dates and I came to know that Falcons Vs Buccaneers is good and I wanted something around Atlanta, GA.	['Falcons Vs Buccaneers', 'Atlanta, GA']	i wanna know the dates of event and if the falcons vs buccaneers is good and i wanted smth around atlanta, georgia	0.3100191056728363	0.934562921524048	0.6245438158512115	1
No, I'm find. Thanks.	[]	No, I'm ok. txs.	0.0304636806249618	0.6561302542686462	0.6256665736436844	1
I plan on flying on March 13th.	['March 13th']	i gonna fly March 13	0.2412724196910858	0.8737556338310242	0.6324832141399384	1
I'd like to visit Portland and leave on the 1st of March.	['Portland', '1st of March']	i really wanna visit Portland and start on the 1st of March	0.118277683854103	0.7516870498657227	0.6334093660116196	1
Do you have any options by Alec Benjamin on the Narrated For You album?	['Alec Benjamin', 'Narrated For You']	any options by Alec Benjamin on the album Narrated For You?	0.0081710293889045	0.6430262327194214	0.6348552033305168	1
I am interested in the weather in Nairobi for 9th of March.	['Nairobi', '9th of March']	hey, what is the weather in nairobi for 9th of March	0.0074766273610293	0.6432827711105347	0.6358061437495053	1
I want to leave on the 4th of March from Seattle, WA.	['Seattle, WA', '4th of March']	i wanna leave on the 4th of March from Seattle	0.2153892517089843	0.8522857427597046	0.6368964910507202	1
Please confirm: a 1:30 pm reservation for 2 people on March 1st at Khamsa in San Francisco.	['Khamsa', 'San Francisco', '1:30 pm', 'March 1st']	confirm this - 1:30 pm reservation for two on march 3 at khamsa in san francisco.	0.0063152383081614	0.6435638666152954	0.6372486283071339	1
good. that will be fine.	[]	good. it'll be all right	0.0759912654757499	0.714149534702301	0.6381582692265511	1
The 1st of March.	['1st of March']	march 1.	0.1073721945285797	0.7464587688446045	0.6390865743160248	1
Please confirm the following details: 4 flexible tickets for the March 12th bus departing from Sacramento at 11 am and arriving in Anaheim.	['Sacramento', 'Anaheim', 'March 12th', '11 am']	confirm this plz - 4 flexible tickets for the March 12 for the bus from Sacramento to Anaheim at 11 in the morning	0.1035776063799858	0.7435793876647949	0.6400017812848091	1
You want a table for 2 on March 3rd at 4:30 pm in Berkeley at the Ippuku is that what you said?	['Ippuku', 'Berkeley', '4:30 pm', 'March 3rd']	u wanna table for 2 on March 3rd at 4:30 pm in Berkeley at Ippuku. yeah?	0.3084059357643127	0.9525431990623474	0.6441372632980347	1
Please give confirmation details: Your fixing visit to Alpine Vista Apartments on march 1st	['Alpine Vista Apartments', 'march 1st']	plz confirm this -  visit to Alpine Vista on march 1st	0.2323563694953918	0.880910336971283	0.6485539674758911	1
I will be departing from Seattle, WA.	['Seattle, WA']	i'll be departing from Seattle	0.1695089489221573	0.8180958032608032	0.6485868543386459	1
Regular please to 5508 Monterey road instead.	['5508 Monterey road']	Regular plz, to 5508 monterey rd	0.2027578204870224	0.8554991483688354	0.652741327881813	1
Okay. You'll instead book a table for 1 at 54 Mint Ristorante Italiano in San Francisco at 1:15 pm on March 14th?	['54 Mint Ristorante Italiano', 'San Francisco', '1:15 pm', 'March 14th']	ok. u book a table for one at 54 Mint Ristorante Italiano in San Francisco at 1:15 pm on March 14th, right?	0.2474104017019271	0.9022745490074158	0.6548641473054886	1
I will depart from Vancouver.	['Vancouver']	i will depart from vancouver	0.0072546685114502	0.6642865538597107	0.6570318853482604	1
The destination station is Sacramento Valley Station.	['Sacramento Valley Station']	the final point is sacramento	0.0167204849421978	0.6762503385543823	0.6595298536121845	1
Loriana Cirlig, MD, Board Certified Family Medicine is the doctor that I need to visit and make an appointment at evening 5.	['Loriana Cirlig, MD, Board Certified Family Medicine', 'evening 5']	i wanna visit doc (loriana cirlig), she delas with family medicine. lets make it at evening 5.	0.0963854044675827	0.7561625242233276	0.6597771197557449	1
I want to find a comedy movie. Search for movies now showing in Oakland.	['Oakland', 'comedy']	i wanna find a comedy movie. check some available movies in oakland.	0.0072395736351609	0.6707319021224976	0.6634923284873366	1
What should I name this event	[]	how to name this event?	0.0540130473673343	0.7214261293411255	0.6674130819737911	1
There is a Civic Plaza Apartments with 4 bed rooms and 3 baths at 1495 Don Avenue and the rent is $4,700 per month.	['Civic Plaza Apartments', '1495 Don Avenue', '$4,700']	here is  a civic plaza apartments with four bedrooms and 3 bathrooms at 1495 don avenue and the rent is 4,700 bucks per month.	0.0373835414648056	0.7094077467918396	0.672024205327034	1
How will the weather be in Delhi, India on the tomorrow?	['Delhi, India', 'tomorrow']	how about the weather in delhi tomorrow?	0.035017229616642	0.7072859406471252	0.6722687110304832	1
I will pick it up next Tuesday and will have it until the 7th of this month.	['next Tuesday', '7th of this month']	i'll pick it up next tuesday and will use it till the 7th of this month.	0.0522949062287807	0.7274743914604187	0.675179485231638	1
No, from the 9th of this month for two days.	['two', '9th of this month']	no, from 9th of this month for 2 days	0.2676689028739929	0.9459382891654968	0.6782693862915039	1
In Oakland, I have Mcdonald's.	"[""Mcdonald's"", 'Oakland']"	in oakland, ther is mcdonald's.	0.0232256706804037	0.7055743932723999	0.6823487225919962	1
Please confirm your appointment with A A Aesthetics Dental Care at March 5th, 1 pm.	['A A Aesthetics Dental Care', '1 pm', 'March 5th']	plz confirm -  meeting with Aesthetics Dental Care at March 5th, 1 pm.	0.0032102388795465	0.6865354180335999	0.6833251791540533	1
I would like to leave tomorrow from Atlanta.	['Atlanta', 'tomorrow']	i'd like to leave tomorrow from atlanta	0.004925743676722	0.6892063021659851	0.6842805584892631	1
Okay, so you will be leaving from Philadelphia and New York will be the destination, on March 4th the bus leaves at 8:30 am and its just for 1 person, correct?	['Philadelphia', 'New York', 'March 4th', '8:30 am']	we you go from Philadelphia to NY on March 4th. ur bus leaves at 8:30 am and its just for 1 person, right?	0.1506743729114532	0.8390733599662781	0.6883989870548248	1
I'm looking for movies online, romantic ones like the ones directed by Tom McCarthy.	['romantic', 'Tom McCarthy']	i wanna watch some romantic movie like the ones by tom mccarthy	0.2050923258066177	0.895426332950592	0.6903340071439743	1
Its average rating is 4.8.	['4.8']	well, it's rated 4.8	0.2285934090614318	0.9191286563873292	0.6905352473258972	1
No, I want to check in this Saturday on the 8th of March.	['this Saturday', '8th of March']	no, I wanna check in this Saturday on the 8th of March.	0.0247721467167139	0.7185830473899841	0.6938109006732702	1
Book a table for 2 people at Spalti Ristorante in Palo Alto on March 1st at 12:30 pm.Is that okay for you?	['Spalti Ristorante', 'Palo Alto', '12:30 pm', 'March 1st']	a table for 2 people at spalti ristorante in palo alto on march 1st at 12:30 pm. right?	0.024328164756298	0.7181834578514099	0.6938552930951118	1
Your destination will be at Sacramento Valley Station.	['Sacramento Valley Station']	ur final point is sacramento station	0.003836233401671	0.6988880634307861	0.6950518300291151	1
Preference on Compact, Full-size or a different kind, I also need to know when you want it from?	[]	i'd better like compact, full-size or smth different. ans btw when you want it from?	0.2945362329483032	0.9904524087905884	0.6959161758422852	1
Make it 1:30 pm in Redwood City.	['1:30 pm', 'Redwood City']	let it be 1:30 pm in redwood city	0.0542628094553947	0.7513321042060852	0.6970692947506905	1
I am leaving Tuesday next week.	['Tuesday next week']	i'll depart on tuesday next week	0.0079060941934585	0.7061803936958313	0.6982742995023727	1
Is the movie Little available and I wish to watch it in Brentwood.	['Little', 'Brentwood']	may i watch Little in Brentwood?	0.0041573191992938	0.7036532163619995	0.6994958971627057	1
I'm looking for an imax show this Saturday.	['this Saturday']	i wanna visiti some imax show this saturday	0.2515910863876343	0.9540826678276062	0.7024915814399719	1
I am departing LA Tuesday next week and headed to New York City.	['Tuesday next week', 'New York City', 'LA']	i'll go from LA o NY tuesday next week	0.1624650210142135	0.8663262724876404	0.7038612514734268	1
The day after tomorrow. I will be back next Friday. I am going to Seattle, WA.	['day after tomorrow', 'Seattle, WA', 'next Friday']	the day after tomorrow and i'll be back next Friday. I gona to Seattle	0.0036779846996068	0.7082276344299316	0.7045496497303247	1
I will depart from New Yourk at around quarter past 2 in the afternoon on 9th of March.	['9th of March', 'quarter past 2 in the afternoon', 'New York']	i'll start from ny at smth like quarter past 2 in the afternoon on 9th of march.	0.1395584791898727	0.8466077446937561	0.7070492655038834	1
Book a table at Castagna in San Francisco for 2 people on March 13th at 7:30 pm.Is correct?	['Castagna', 'San Francisco', '7:30 pm', 'March 13th']	let check thta - a table at Castagna in San Francisco for two people on March 13th at 7:30 pm. right or not?	0.0255072601139545	0.7382736206054688	0.7127663604915142	1
Great, I'd like to make an appointment on the 12th.	['the 12th']	cool , i wanna make an appointment on 12	0.1075967103242874	0.8231987953186035	0.7156020849943161	1
I want to rent it in Seattle, WA on March 7th	['March 7th', 'Seattle, WA']	i wanna rent it in Seattle on March 7th	0.1424155533313751	0.858709454536438	0.7162939012050629	1
My pleasure. Enjoy!	[]	it's pleasure for me, dude! enjoy it!	0.0062680635601282	0.7243033647537231	0.7180353011935949	1
Yes, can you book 1 room from the 3rd through Thursday next week?	['Thursday next week', 'the 3rd']	Yes, plz book one room from the 3 through Thursday next week	0.2046934217214584	0.9240133166313172	0.7193198949098587	1
Please confirm: 4 tickets to Nationals vs Rockies in Washington D.C. on March 1st.	['Nationals vs Rockies', 'March 1st', 'Washington D.C.']	plz tell me if u really want four tickets to nationals vs rockies in washington on march 1st.	0.2642078995704651	0.9849714636802672	0.7207635641098022	1
Confirming a March 14th appointment at Atelier Salon Willow Glen.	['Atelier Salon Willow Glen', 'March 14th']	yeah i confirm March 14 appointment at Atelier Salon Willow Glen.	0.0709677711129188	0.7939843535423279	0.723016582429409	1
Would you like to listen to Love Lost by Mattia Cupelli from the album Reminiscence?	['Love Lost', 'Mattia Cupelli', 'Reminiscence']	wanna listen to love lost  ( mattia cupelli ) from the reminiscence album ?	0.0087183127179741	0.7329981923103333	0.7242798795923591	1
I need to find round trip flights on Delta Airlines from Nairobi on March 9th.	['March 9th', 'Nairobi']	i wanna find round trip flights on Delta from Nairobi on March 9th.	0.064842939376831	0.7923827767372131	0.7275398373603821	1
Thank you! I'm good.	[]	thanks, i'm fine	0.0091836750507354	0.7374225854873657	0.7282389104366302	1
I want a General Practitioner. Try searching in Lafayette.	['Lafayette']	i wanna go to general practitioner. find one in Lafayette	0.0044368938542902	0.7395594120025635	0.7351225181482732	1
I will go to Sacramento on the 2nd of March.	['Sacramento', '2nd of March']	i'll go to sacramento on the 2 of march.	0.0639701634645462	0.7999796867370605	0.7360095232725143	1
Please confirm the booking details appointment with Dr. Hoang M. Duong, MD at 2:30 pm	['Dr. Hoang M. Duong, MD', '2:30 pm']	plz confirm details - appointment with Dr. Hoang at 2:30 pm	0.0051233596168458	0.74269038438797	0.7375670247711241	1
Are there any times available to see Missing Link in 3d?	['Missing Link']	any available time to see missing link in 3d?	0.0223715230822563	0.7631921172142029	0.7408205941319466	1
Okay, confirm the following details for me: making a reservation for 2 rooms at the Acme Hotel Company Chicago in Chicago, checking in on March 1st and checking out on March 4th.	['Acme Hotel Company Chicago', 'Chicago', 'March 1st', 'March 4th']	ok, confirm this for me -  reserving 2 rooms at the acme hotel in chicago, from march 1st to 4th.	0.0165373347699642	0.7588898539543152	0.742352519184351	1
Please confirm this flight: 1 ticket for an Economy flight through Alaska Airlines that will leave from San Francisco and arrive in Seattle next Wednesday.	['San Francisco', 'Seattle', 'next Wednesday']	plz confirm this flight - 1 ticket for an Economy flight through Alaska Airlines. it will leave from SF and arrive in Seattle next Wednesday.	0.0345676392316818	0.7770718336105347	0.7425041943788528	1
would you like to book a table	[]	wanna book a table?	0.1559103578329086	0.903333306312561	0.7474229484796524	1
Yes Red Joan is perfect one.	['Red Joan']	yeah Red Joan is ok.	0.2255967110395431	0.9757300615310668	0.7501333504915237	1
Your requested event has been added on your calendar.	[]	ur event is in calendar	0.0110602406784892	0.7615684270858765	0.7505081864073873	1
That sounds great. When am I free on the 9th of March?	['9th of March']	cool! is there any time for me on 9th of March?	0.006625163834542	0.7574833035469055	0.7508581397123635	1
I would like it at afternoon 1:15.	['afternoon 1:15']	it could be cool at afternoon 1:15	0.0047664195299148	0.7559271454811096	0.7511607259511948	1
What type of event?	[]	what event?	0.0374992527067661	0.7893441319465637	0.7518448792397976	1
Let's search in Philadelphia for Music events please.	['Philadelphia']	let's check some music events in philly	0.0195072572678327	0.7719254493713379	0.7524181921035051	1
I need a one way flight departing Saturday this week.	['Saturday this week']	gimme one way flight for saturday this week.	0.1846733838319778	0.9371704459190368	0.752497062087059	1
Sure, will you be travelling to 1760 Polk Street any any preference on the type of ride?	['1760 Polk Street']	yeah, will you go to 1760 polk street? any preference on the ride type?	0.1172171756625175	0.8701375722885132	0.7529203966259956	1
The balance in your checking account is $8,317.29.	['$8,317.29']	ur checking account balance is 8,317.29 bucks.	0.0052818446420133	0.7606911063194275	0.7554092616774142	1
"I want to have the car from 7 o""clock in the evening on the 4th until the 8th of March."	"['7 o""clock in the evening', 'the 4th', '8th of March']"	"i wanna have the car from 7 o""clock in the evening on the 4th to  8th of march"	0.029976749792695	0.7866749167442322	0.7566981669515371	1
Great, can you schedule me an appointment for one in the afternoon on Thursday next week?	['one in the afternoon', 'Thursday next week']	cool, make me an appointment for one in the afternoon on thursday next week, ok?	0.0249829143285751	0.7820067405700684	0.7570238262414932	1
I am going to la to new york	['la', 'new york']	I'm gonna to la to ny	0.0933576971292495	0.852950930595398	0.7595932334661484	1
Successfully confirmed your appointment with that dentist on the new time.	[]	the new time with dentist is confirmed	0.0027738423086702	0.7647602558135986	0.7619864135049284	1
Please, book a visit on Tuesday next week at afternoon 3.	['Tuesday next week', 'afternoon 3']	lets make it on tuesday next week at afternoon 3.	0.0039257761090993	0.7662751078605652	0.7623493317514658	1
Please give confirmation details: The booking is for 2 people at 5:30 pm.	['5:30 pm']	plz confrim -  the booking is for 2 people at 5:30 in the evening.	0.0714229568839073	0.8369552493095398	0.7655322924256325	1
